n.country,n.id,n.srid, n.x, n.y,n.name
"SGP","cimbbankberhadsingaporesgp", 4326, 103.8, 1.3667, "CIMB Bank Berhad"
"RUS","uralsibbankoaomoscowrussiarus", 4326, 100, 60, "Uralsib Bank OAO"
"EST","tallinnbusinessbankestoniaest", 4326, 26, 59, "Tallinn Business Bank"
"CYP","barclaysbankplcnicosiabarclayscypruscyp", 4326, 33, 35, "Barclays Bank Plc Nicosia"
"HKG","standardcharteredbankhongkonglimitedhongkonghkg", 4326, 114.1667, 22.25, "Standard Chartered Bank Hong Kong Limited"
"LIE","liechtensteinischelandesbankliechtensteinlie", 4326, 9.5333, 47.1667, "Liechtensteinische Landesbank"
"DNK","saxobankdenmarkdnk", 4326, 10, 56, "Saxo Bank"
"GBR","deutschebankaglondongbr", 4326, 2, 54, "Deutsche Bank AG"
"LVA","rietumubankajsclatvialva", 4326, 25, 57, "Rietumu Banka JSC"
"RUS","vtb24jscrussiarus", 4326, 100, 60, "VTB 24"
"CYP","barclaysbankplcnicosiacyp", 4326, 33, 35, "Barclays Bank Plc"
"RUS","vtbnorthwestjscstpetersburgrussiarus", 4326, 100, 60, "VTB NorthWest JSC"
"MDA","commercialbankmobiasbancagroupechisinaumoldovamda", 4326, 29, 47, "Commercial Bank MobiasbancaGroupe"
"GBR","efgprivatebanklimitedlondonenglandgbr", 4326, 2, 54, "EFG Private Bank Limited"
"RUS","alfabankmoscowrussiarus", 4326, 100, 60, "Alfabank"
"RUS","ingbankeurasiazaomoscowrussiarus", 4326, 100, 60, "ING Bank Eurasia Zao"
"LBN","audiprivatebanksalbeirutlebanonlbn", 4326, 35.8333, 33.8333, "Audi Private Bank S.A.L."
"IRL","ulsterbanklimiteddublinirelandirl", 4326, 8, 53, "Ulster Bank Limited"
"KAZ","halyksavingsbankkazakhstanalmatykazakhstankaz", 4326, 68, 48, "Halyk Savings Bank Kazakhstan"
"AUT","unicreditbankaustriaagviennaaustriaaut", 4326, 13.3333, 47.3333, "UniCredit Bank Austria AG"
"RUS","bankvozrozhdeniemoscowrussiarus", 4326, 100, 60, "Bank Vozrozhdenie"
"AUT","meinlbankagviennaaustriaaut", 4326, 13.3333, 47.3333, "Meinl Bank AG"
"EST","swedbankasestoniaest", 4326, 26, 59, "Swedbank AS"
"EST","escitadelebankaeestifiliaalestoniaest", 4326, 26, 59, "Es Citadele Banka Eesti Filiaal"
"RUS","alfabankojscrussiarus", 4326, 100, 60, "AlfaBank OJSC"
"RUS","pjscrosbankmoscowrussiarus", 4326, 100, 60, "PJSC Rosbank"
"ISR","bankhapoalimbmtelavivisraelisr", 4326, 34.75, 31.5, "Bank Hapoalim B M"
"KEN","barclaysbankofkenyaltdkenyaken", 4326, 38, 1, "Barclays Bank of Kenya Ltd"
"PHL","rizalcommercialbankingcorpmanilaphilipppinesphl", 4326, 122, 13, "Rizal Commercial Banking Corp. "
"IDN","bankocbcnisptbkjakartaindonesiaidn", 4326, 120, 5, "Bank Ocbc Nisp Tbk"
"KAZ","eurasianbankalmatykazakhstankaz", 4326, 68, 48, "Eurasian Bank"
"IND","yesbanklimitedmumbaiindiaind", 4326, 77, 20, "Yes Bank Limited"
"KAZ","nurbankjscalmatykazakhstankaz", 4326, 68, 48, "Nurbank JSC"
"KAZ","bankcentercreditalmatykazakhstankaz", 4326, 68, 48, "Bank Centercredit"
"MYS","cimbbankberhadkualalumpurmalaysiamys", 4326, 112.5, 2.5, "CIMB Bank Berhad"
"IDN","bankmandiriperseotbkptjakartaindonesiaidn", 4326, 120, 5, "Bank Mandiri"
"GBR","couttsandcompanylondonenglandgbr", 4326, 2, 54, "Coutts And Company"
"MEX","bancobasesamexicomex", 4326, 102, 23, "Banco Base S.A."
"PAN","multibankincpanamapanamapan", 4326, 80, 9, "Multibank Inc. "
"BLZ","atlanticbankltdbelizecitybelizeblz", 4326, 88.75, 17.25, "Atlantic Bank Ltd"
"CHE","bankcialbasleswitzerlandche", 4326, 8, 47, "Bank Cial"
"MEX","bbvabancomersamexicomex", 4326, 102, 23, "Bbva Bancomer S.A."
"JOR","egyptianarablandbanksaeammanjordanjor", 4326, 36, 31, "Egyptian Arab Land Bank S A E"
"NLD","ingnetherlandnvnetherlandsnld", 4326, 5.75, 52.5, "ING Netherland NV"
"IND","axisbanklimitedindiaind", 4326, 77, 20, "Axis Bank Limited"
"DEU","commerzbankaggermanydeu", 4326, 9, 51, "Commerzbank AG"
"GBR","lloydsbankplcunitedkingdomgbr", 4326, 2, 54, "Lloyds Bank Plc"
"RUS","openjointstockcompanypromsvyazbankrussiarus", 4326, 100, 60, "Open Joint Stock Company Promsvyazbank"
"AUT","raiffeisenbankinternationalagaustriaaut", 4326, 13.3333, 47.3333, "Raiffeisen Bank International AG"
"ARE","bankofbarodadubaibranchdubaiuaeare", 4326, 54, 24, "Bank of Baroda Dubai Branch"
"ARE","nationalbkofrasalkhaimahpscdubaiuaeare", 4326, 54, 24, "National Bk of Ras Al Khaimah Psc"
"MLT","bankofvallettaplcvallettamaltamlt", 4326, 14.5833, 35.8333, "Bank of Valletta Plc"
"HKG","scbhongkonghongkonghkg", 4326, 114.1667, 22.25, "Scb Hong Kong"
"BGD","scbbangladeshdhakabangladeshbgd", 4326, 90, 24, "Scb Bangladesh"
"PAK","scbpakistanlimitedkarachipakistanpak", 4326, 70, 30, "Scb Pakistan Limited"
"LKA","nationstrustbankplccolombosirlankalka", 4326, 81, 7, "Nations Trust Bank Plc"
"ARE","scbuaedubaiuaeare", 4326, 54, 24, "Scb Uae"
"RUS","fareasternbankvladivostokrussiarus", 4326, 100, 60, "Far Eastern Bank"
"POL","bankslaskisakatowicepolandpol", 4326, 20, 52, "Bank Slaski S.A. "
"MEX","citibancosainstituciondebancamultiplemexicomex", 4326, 102, 23, "Citibanco SA Institucion De Banca Multiple"
"IDN","ptbankuobindonesiajakartaindonesiaidn", 4326, 120, 5, "PT Bank Uob Indonesia"
"GBR","creditsuisseinternationallondonukgbr", 4326, 2, 54, "Credit Suisse International"
"RUS","sudostroitelnyjbankmoscowrussiarus", 4326, 100, 60, "Sudostroitelnyj Bank"
"TUR","turkiyegarantibankasiasistanbulbesiktastur", 4326, 35, 39, "Turkiye Garanti Bankasi A.S"
"ARE","arabbankforinvestmentforeigntradeabudhabiuaeare", 4326, 54, 24, "Arab Bank For Investment & Foreign Trade"
"LIE","vpbankagtriesenliechtensteinlie", 4326, 9.5333, 47.1667, "VP Bank AG"
"ARE","wallstreetexchangecentrellcdubaiuaeare", 4326, 54, 24, "Wall Street Exchange Centre Llc"
"CZE","lbbwbankczaspragueczechrepubliccze", 4326, 15.5, 49.75, "Lbbw Bank Cz A.S."
"MDA","unibankchisinaumoldovamda", 4326, 29, 47, "Unibank"
"GBR","britisharabcommercialbankltdlondonenglandgbr", 4326, 2, 54, "British Arab Commercial Bank Ltd"
"TUR","kuwaitturkishparticipationbkistanbulturkeytur", 4326, 35, 39, "Kuwait Turkish Participation Bk"
"RUS","krajinvestbankkrasnodarrussiarus", 4326, 100, 60, "Krajinvestbank"
"CHE","sgprivatebankingsuissesazurichswitzerlandche", 4326, 8, 47, "SG Private Banking"
"FIN","pohjolabankplchelsinkifinlandfin", 4326, 26, 64, "Pohjola Bank Plc"
"TUR","turkekonomibankasiasturkeytur", 4326, 35, 39, "Turk Ekonomi Bankasi A S"
"TUR","vakifbankturkeytur", 4326, 35, 39, "Vakifbank"
"CHN","bankofchinalimitedchinachn", 4326, 105, 35, "Bank of China Limited"
"LBN","almawaridbanklebanonlbn", 4326, 35.8333, 33.8333, "Al Mawarid Bank"
"PAN","andbancpanamasapanamacitypanamapan", 4326, 80, 9, "Andbanc"
"TWN","bankoftaiwanteipeitaiwantwn", 4326, 121, 23.5, "Bank of Taiwan"
"TWN","taishininternationalbanktaipeitaiwantwn", 4326, 121, 23.5, "Taishin International Bank"
"HKG","ctbcbankcoltdhongkonghkg", 4326, 114.1667, 22.25, "CTBC Bank Co Ltd"
"CHN","pinganbankcoltdchinachn", 4326, 105, 35, "Ping An Bank Co Ltd"
"TWN","scsbsavingsdepartmentbranchtaipeitaiwantwn", 4326, 121, 23.5, "SCSB Savings Department Branch"
"NOR","skandinaviskaenskildabankenoslonorwaynor", 4326, 10, 62, "Skandinaviska Enskilda Banken"
"ECU","produbancoquitoecuadorecu", 4326, 77.5, 2, "Produbanco"
"RUS","vnesheconombankakathebankfordevelopmentandforeigneconomicaffairsmoscowrussiarus", 4326, 100, 60, "Vnesheconombank"
"UKR","ukrsotzbankkievukraineukr", 4326, 32, 49, "Ukrsotzbank"
"IND","kotakmahindrabankmumbaiindiaind", 4326, 77, 20, "Kotak Mahindra Bank"
"IND","unionbankofindiamumbaiindiaind", 4326, 77, 20, "Union Bank of India"
"SAU","riyadbankriyadhsaudiarabiasau", 4326, 45, 25, "Riyad Bank"
"PAN","bancocreditandorrapanamasapan", 4326, 80, 9, "Banco Credit Andorra"
"TWN","scsbsavingsbanktaipeitaiwantwn", 4326, 121, 23.5, "SCSB Savings Bank"
"CHE","bankcialswitzerlandbasleswitzerlandche", 4326, 8, 47, "Bank Cial"
"TWN","cathayunitedbanktaipeicitytaiwantwn", 4326, 121, 23.5, "Cathay United Bank"
"HKG","taipeifuboncommercialbankcoltdhongkonghkg", 4326, 114.1667, 22.25, "Taipei Fubon Commercial Bank Co Ltd"
"SGP","ctbcbankcoltdsingaporesgp", 4326, 103.8, 1.3667, "CTBC Bank Co. Ltd"
"LIE","vpbankagvaduzliechtensteinlie", 4326, 9.5333, 47.1667, "VP Bank AG"
"HKG","ocbcwinghangbanklimitedhongkonghkg", 4326, 114.1667, 22.25, "Ocbc Wing Hang Bank Limited"
"HKG","creditsuissehongkonghkg", 4326, 114.1667, 22.25, "Credit Suisse"
"SGP","indianbanksingaporesgp", 4326, 103.8, 1.3667, "Indian Bank"
"CYM","dmsbanktrustltdcaymanislandsgcym", 4326, 80.5, 19.5, "DMS Bank & Trust Ltd. "
"RUS","bankrossiyastpetersburgrussiarus", 4326, 100, 60, "Bank Rossiya"
"IND","indusindbankltdmumbaiindiaind", 4326, 77, 20, "Indusind Bank Ltd."
"URY","bancodesantandermontevideouruguayury", 4326, 56, 33, "Banco De Santander"
"IDN","bankchinatrustindonesiajakartaindonesiaidn", 4326, 120, 5, "Bank Chinatrust Indonesia"
"NOR","dnbnorbankasaoslonorwaynor", 4326, 10, 62, "DNB Nor Bank Asa"
"BEL","ingbelgiumsanvantwerpbelgiumbel", 4326, 4, 50.8333, "ING Belgium Sa/Nv"
"UKR","openjointstockcompanyvtbbankkievukraineukr", 4326, 32, 49, "Open JointStock Company VTB Bank"
"TUR","turkiyefinanskatilimbankasiasistanbulturkeytur", 4326, 35, 39, "Turkiye Finans Katilim Bankasi A.S."
"FRA","natixisparisfrancefra", 4326, 2, 46, "Natixis"
"RUS","savingsbankoftherussianfederationstpetersburgrussiarus", 4326, 100, 60, "Savings Bank of The Russian Federation"
"LVA","jscnorvikbankalatvialva", 4326, 25, 57, "JSC Norvik Banka"
"CYP","hellenicbankltdcypruscyp", 4326, 33, 35, "Hellenic Bank Ltd"
"RUS","investtradebankojscrussiarus", 4326, 100, 60, "Investtradebank OJSC"
"POL","ingbankslaskisapolandpol", 4326, 20, 52, "ING Bank Slaski SA"
"RUS","sberbankofrussiarussiarus", 4326, 100, 60, "Sberbank of Russia"
"TWN","bankoftaiwantaiwantwn", 4326, 121, 23.5, "Bank of Taiwan"
"KOR","kyongnambanksouthkoreakor", 4326, 127.5, 37, "Kyongnam Bank"
"NGA","ecobanknigeriaplcnigerianga", 4326, 8, 10, "Ecobank Nigeria Plc"
"IND","statebankofindiaindiaind", 4326, 77, 20, "State Bank of India"
"MUS","standardbankmauritiusmus", 4326, 57.55, 20.2833, "Standard Bank"
"MUS","mauritiuscommercialbankmauritiusmus", 4326, 57.55, 20.2833, "Mauritius Commercial Bank"
"GBR","vtbcapitalplcunitedkingdomgbr", 4326, 2, 54, "VTB Capital Plc"
"GBR","deutschebankunitedkingdomgbr", 4326, 2, 54, "Deutsche Bank"
"MUS","deutschebankmauritiusmus", 4326, 57.55, 20.2833, "Deutsche Bank"
"TUR","akbanktasturkeytur", 4326, 35, 39, "Akbank Tas"
"DEU","deutschebankaggermanydeu", 4326, 9, 51, "Deutsche Bank AG"
"CYP","eurobankcyprusltdnicosiacypruscyp", 4326, 33, 35, "Eurobank Cyprus Ltd"
"LTU","sebbankasvilniuslithuanialtu", 4326, 24, 56, "SEB Bankas"
"DEU","commerzbankagfrankfurtgermanydeu", 4326, 9, 51, "Commerzbank A G"
"HKG","scbhkhongkonghkg", 4326, 114.1667, 22.25, "Scb Hk"
"TUR","finansbankasturkeytur", 4326, 35, 39, "Finansbank AS"
"HKG","bankofchinahongkonglimitedhongkonghkg", 4326, 114.1667, 22.25, "Bank of China Hong Kong Limited"
"RUS","rostbankrussiarus", 4326, 100, 60, "Rost Bank"
"EST","sebbanktallinnestoniaest", 4326, 26, 59, "SEB Bank"
"MUS","bankinternasionalindonesiamauritiusmus", 4326, 57.55, 20.2833, "Bank Internasional Indonesia"
"HKG","bankofeastasialtdhongkonghkg", 4326, 114.1667, 22.25, "Bank of East Asia Ltd"
"CHN","chinamerchantsbankshenzhenchinachn", 4326, 105, 35, "China Merchants Bank"
"GBR","santanderukplcukgbr", 4326, 2, 54, "Santander UK Plc"
"CHE","couttsandcoltdswitzerlandche", 4326, 8, 47, "Coutts And Co Ltd"
"CHE","falconprivatebankswitzerlandche", 4326, 8, 47, "Falcon Private Bank"
"CYP","marfinpopularbankcypruscyp", 4326, 33, 35, "Marfin Popular Bank"
"RUS","nonbankingcreditorganizationsettlementchamberrtsrussiarus", 4326, 100, 60, "NonBanking Credit Organization Settlement Chamber Rts"
"RUS","savingsbankoftherussianstpetersburgrussiarus", 4326, 100, 60, "Savings Bank of The Russian"
"NGA","standardcharteredbanklagosnigerianga", 4326, 8, 10, "Standard Chartered Bank"
"NGA","unitedbankforafricaltdlagosnigerianga", 4326, 8, 10, "United Bank For Africa Ltd"
"DEU","bhfbankaktiengesellschaftfrankfurtgermanydeu", 4326, 9, 51, "Bhf Bank Aktiengesellschaft"
"GHA","energybankghanalimitedaccraghanagha", 4326, 2, 8, "Energy Bank Ghana Limited"
"GBR","fbnbankukltdlondongbgbr", 4326, 2, 54, "Fbn Bank UK Ltd"
"SVN","novaljubljanskabankaddljubljanasloveniasvn", 4326, 15, 46, "Nova Ljubljanska Banka D.D. "
"TUR","turkiyevakiflarbankasitaoankaraturkeytur", 4326, 35, 39, "Turkiye Vakiflar Bankasi T.A.O. "
"GBR","creditsuisseaglondonenglandgbr", 4326, 2, 54, "Credit Suisse AG"
"UKR","internationalinvestbankkievukraineukr", 4326, 32, 49, "International Invest Bank"
"RUS","baltinvestbankstpetersburgrussiarus", 4326, 100, 60, "Baltinvestbank"
"RUS","sberbankstpetersburgrussiarus", 4326, 100, 60, "Sberbank"
"RUS","bankvtbnorthwestjscstpetersburgrussiarus", 4326, 100, 60, "Bank VTB NorthWest JSC"
"SRB","piraeusbankadbeogradbeogradserbiasrb", 4326, 21, 44, "Piraeus Bank Ad Beograd"
"ARE","thenationalbankofrasalkhaimahrasalkhaimahuaeare", 4326, 54, 24, "The National Bank of Ras AlKhaimah"
"TWN","dbsbanktaiwanltdtaipeitaiwantwn", 4326, 121, 23.5, "DBS Bank(Taiwan) Ltd"
"GBR","csukltdlondonunitedkingdomgbr", 4326, 2, 54, "Cs"
"KAZ","temirbankalmatykazakhstankaz", 4326, 68, 48, "Temir Bank"
"TUR","turkiyecummuriyetiziraatbankasiankaraturkeytur", 4326, 35, 39, "Turkiye Cummuriyeti Ziraat Bankasi"
"TUR","asyakatilimbankasiasistanbulturkeytur", 4326, 35, 39, "Asya Katilim Bankasi A.S."
"POL","ingbankslaskisakatowicepolandpol", 4326, 20, 52, "ING Bank Slaski S.A."
"EGY","albarakabankegyptgizaegyptegy", 4326, 30, 27, "Al Baraka Bank Egypt"
"SGP","creditsuisseagsingaporebranchsingaporesgp", 4326, 103.8, 1.3667, "Credit Suisse Ag Singapore Branch"
"DEU","berlinervolksbankegberlingermanydeu", 4326, 9, 51, "Berliner Volksbank Eg"
"FIN","aktiasavingsbankhelsinkifinlandfin", 4326, 26, 64, "Aktia Savings Bank"
"TUR","turkiyecumhuriyetiziraatbankasiasanikaraturkeytur", 4326, 35, 39, "Turkiye Cumhuriyeti Ziraat Bankasi A.S."
"TUR","aktifinvestmentbankasistanbulturkeytur", 4326, 35, 39, "Aktif Investment Bank A.S."
"SGP","firstgulfbanksingaporesgp", 4326, 103.8, 1.3667, "First Gulf Bank"
"CYP","barclaysbankplcnicosiacypruscyp", 4326, 33, 35, "Barclays Bank Plc Nicosia"
"RUS","jsbrosevrobankojscrussiarus", 4326, 100, 60, "JS B Rosevrobank OJSC"
"EGY","housinganddevelopmentbankcairoegyptegy", 4326, 30, 27, "Housing And Development Bank"
"CAN","travelexcurrencyservicesinctorontoontariocan", 4326, 95, 60, "Travelex Currency Services Inc"
"LUX","banquepriveeedmondderothschildeuropeluxembourglux", 4326, 6.1667, 49.75, "Banque Privee Edmond De Rothschild Europe"
"CHN","shanghaipudongdevelopmentbankcoltdchinachn", 4326, 105, 35, "Shanghai Pudong Development Bank Co Ltd"
"ZAF","standardbankofsouthafricaltdsouthafricazaf", 4326, 24, 29, "Standard Bank of South Africa Ltd"
"NGA","wemabankplcnigerianga", 4326, 8, 10, "Wema Bank Plc"
"CHN","chinamerchantbankchinachn", 4326, 105, 35, "China Merchant Bank"
"SWE","skandinaviskaenskildabankenstockholmswedenswe", 4326, 15, 62, "Skandinaviska Enskilda Banken"
"DEU","sparkassekoelnbonncolognegermanydeu", 4326, 9, 51, "Sparkasse Koelnbonn"
"DEU","nassauischesparkassewiesbadengermanydeu", 4326, 9, 51, "Nassauische Sparkasse"
"GRC","piraeusbanksaathensgreecegrc", 4326, 22, 39, "Piraeus Bank S.A."
"AUS","commonwealthbankofaustraliasydneyaus", 4326, 133, 27, "Commonwealth Bank of Australia"
"BEL","cbcbanquesabrusselsbelgiumbel", 4326, 4, 50.8333, "Cbc Banque S.A."
"NGA","firstbankofnigeriaplclagosnigerianga", 4326, 8, 10, "First Bank of Nigeria Plc"
"FRA","bnpparibassaparisfrancefra", 4326, 2, 46, "Bnp Paribas SA"
"NGA","unitedbankforafricaplclagosnigerianga", 4326, 8, 10, "United Bank For Africa Plc"
"GBR","nationalwestminsterbankplclondongbgbr", 4326, 2, 54, "National Westminster Bank Plc"
"GBR","accessbankuklimitedlondongbgbr", 4326, 2, 54, "Access Bank UK Limited"
"NGA","firstcitymonumentbanklimitedlagosnigerianga", 4326, 8, 10, "First City Monument Bank Limited"
"DEU","libertybankgermanydeu", 4326, 9, 51, "Liberty Bank"
"UKR","forumbankukraineukr", 4326, 32, 49, "Forum Bank"
"LUX","banquedeluxembourgluxembourglux", 4326, 6.1667, 49.75, "Banque De Luxembourg"
"DEU","dbpostbankgermanydeu", 4326, 9, 51, "Db Postbank"
"CAN","central1creditunioncanadacan", 4326, 95, 60, "Central 1 Credit Union"
"GEO","bankofgeorgiageorgiageo", 4326, 43.5, 42, "Bank of Georgia"
"ARE","nationalbankofabudhabiuaeare", 4326, 54, 24, "National Bank of Abu Dhabi"
"GEO","procreditbankgeorgiageo", 4326, 43.5, 42, "Procredit Bank"
"GEO","tbcbankgeorgiageo", 4326, 43.5, 42, "Tbc Bank"
"LUX","dexiabqeintlaluxembourgsaluxembourglux", 4326, 6.1667, 49.75, "Dexia Bqe Intl A Luxembourg SA"
"CYM","caledonianbankltdcaymanislandscym", 4326, 80.5, 19.5, "Caledonian Bank Ltd"
"GEO","jsctbcbanktbilisigeorgiageo", 4326, 43.5, 42, "JSC TbcBank"
"OMN","bankmuscatsaogomanomn", 4326, 57, 21, "Bankmuscat"
"RUS","jscbnovikombankmoscowrussiarus", 4326, 100, 60, "Jscb Novikombank"
"RUS","zaounicreditbankmoscowrussiarus", 4326, 100, 60, "Zao UniCredit Bank"
"SGP","ucobanksingaporesingaporesgp", 4326, 103.8, 1.3667, "Uco Bank Singapore"
"IND","karurvysyabankltdintlchennaiindiaind", 4326, 77, 20, "Karur Vysya Bank Ltd Intl"
"TWN","huanancommercialbanktaipeitaiwantwn", 4326, 121, 23.5, "Hua Nan Commercial Bank"
"SAU","bankaljazirasaudiarabiasau", 4326, 45, 25, "Bank Al Jazira"
"MYS","unitedoverseasbankmalaysiabhdmalaysiamys", 4326, 112.5, 2.5, "United Overseas Bank Malaysia Bhd"
"ISR","israeldiscountbankltdisraelisr", 4326, 34.75, 31.5, "Israel Discount Bank Ltd"
"POL","bankpolskakasaopiekigrupapekaosapolandpol", 4326, 20, 52, "Bank Polska Kasa Opieki Grupa Pekao SA"
"RUS","nationalsettlementdepositorymoscowrussiarus", 4326, 100, 60, "National Settlement Depository"
"CHE","russiancommercialbankltdzurichswitzerlandche", 4326, 8, 47, "Russian Commercial Bank Ltd"
"RUS","raiffeisenbankzaorussiarus", 4326, 100, 60, "Raiffeisenbank Zao"
"UKR","ukrgasbankukraineukr", 4326, 32, 49, "Ukrgasbank"
"UKR","pivdenniybankukraineukr", 4326, 32, 49, "Pivdenniy Bank"
"CYP","bankofcypruspubliccompanylimitedcypruscyp", 4326, 33, 35, "Bank of Cyprus Public Company Limited"
"BEL","ingbelgiumsanvbrusselsbelgiumbel", 4326, 4, 50.8333, "ING Belgium Sa/Nv"
"GBR","efgprivatebankltdlondonenglandgbr", 4326, 2, 54, "EFG Private Bank Ltd"
"CHE","messrsbordierandciegenevaswitzerlandche", 4326, 8, 47, "Messrs.  Bordier And Cie"
"CZE","ceskoslovenskaobchodnibankaaspragueczechrepubliccze", 4326, 15.5, 49.75, "Ceskoslovenska Obchodni Banka A S"
"SGP","unitedoverseasbankltrdsingaporesgp", 4326, 103.8, 1.3667, "United Overseas Bank Ltrd"
"VNM","commonwealthbankofaustraliahochiminhcityvietnamvnm", 4326, 106, 16, "Commonwealth Bank of Australia"
"VNM","vietnamtechnologicalandcommljointstockbankhanoivietnamvnm", 4326, 106, 16, "Vietnam Technological And CommL Joint Stock Bank"
"TWN","shanghaicommercialandsavingsbankltdtaipeitaiwantwn", 4326, 121, 23.5, "Shanghai Commercial And Savings Bank Ltd"
"CYM","bancosantanderbrasilsagrandcaymanbranchgeorgetowngrandcaymancym", 4326, 80.5, 19.5, "Banco Santander"
"PAN","credicorpbankpanamapan", 4326, 80, 9, "Credicorp Bank"
"LBN","lebanonandgulfbanksalbeirutlebanonlbn", 4326, 35.8333, 33.8333, "Lebanon And Gulf Bank S.A.L."
"ISR","mizrahitefahotbankltdramatganisraelisr", 4326, 34.75, 31.5, "Mizrahi Tefahot Bank Ltd"
"URY","bancodelarepublicaorientaldeluruguaymontevideouruguayury", 4326, 56, 33, "Banco De La Republica Oriental Del Uruguay"
"URY","bancoitauuruguaysamontevideouruguayury", 4326, 56, 33, "Banco Itau Uruguay S.A."
"CYP","usbbankplcnicosiacypruscyp", 4326, 33, 35, "Usb Bank P.L.C."
"URY","bancosantandermontevideouruguayury", 4326, 56, 33, "Banco Santander Montevideo"
"FIN","skandinaviskaenskildabankenhelsinkifinlandfin", 4326, 26, 64, "Skandinaviska Enskilda Banken. Helsinki Finland"
"CHN","shanghaipudongdevelopmentbankshanghaichinachn", 4326, 105, 35, "Shanghai Pudong Development Bank"
"CHN","firstsinobankshanghaichinachn", 4326, 105, 35, "First Sino Bank"
"HKG","taiwancooperativebankhongkonghkg", 4326, 114.1667, 22.25, "Taiwan Cooperative Bank"
"MAC","banconacionalultramarinomacaumac", 4326, 113.55, 22.1667, "Banco Nacional Ultramarino"
"SWE","skandinaviskaenskildabankenswedenstockholmswedenswe", 4326, 15, 62, "Skandinaviska Enskilda Banken  Sweden"
"CHN","chinaconstructionbankzhejiangchinachn", 4326, 105, 35, "China Construction Bank"
"LTU","abbankassnoraslithuanialtu", 4326, 24, 56, "AB Bankas Snoras"
"EST","assampopankestoniaest", 4326, 26, 59, "AS Sampo Pank"
"UKR","commercialbankkhreschatykukraineukr", 4326, 32, 49, "Commercial Bank Khreschatyk"
"RUS","aounicreditbankrussianfederationrus", 4326, 100, 60, "AO UniCredit Bank"
"CYP","cypruspopularbankpubliccoltdcypruscyp", 4326, 33, 35, "Cyprus Popular Bank Public Co Ltd"
"CHE","banquedecommerceetdeplacementssagenevaswitzerlandche", 4326, 8, 47, "Banque De Commerce Et De Placements SA"
"GBR","theroyalbankofscotlandplclondonenglandgbr", 4326, 2, 54, "The Royal Bank of Scotland P.L.C"
"RUS","uralsibbankmoscowrussiarus", 4326, 100, 60, "Uralsib Bank"
"CYP","eurobankcyprusltdcypruscyp", 4326, 33, 35, "Eurobank Cyprus Ltd"
"CHE","bankmorganstanleyagzurichswitzerlandche", 4326, 8, 47, "Bank Morgan Stanley AG"
"ESP","bancosantandersamadridspainesp", 4326, 4, 40, "Banco Santander S.A."
"SWE","skandinaviskaenskildabankenswedenswe", 4326, 15, 62, "Skandinaviska Enskilda Banken"
"GBR","bankofnewyorkmellonlondonlondonukgbr", 4326, 2, 54, "Bank of New York Mellon London"
"TZA","eximbanktanzanialtdtza", 4326, 35, 6, "Exim Bank"
"GBR","santanderukplcunitedkingdomgbr", 4326, 2, 54, "Santander UK Plc"
"DEU","thelandesbankbadenwuerttembergmannheimgermanydeu", 4326, 9, 51, "The Landesbank BadenWuerttemberg"
"LBN","firstnationalbanksalbeirutlebanonlbn", 4326, 35.8333, 33.8333, "First National Bank Sal"
"LUX","creditsuisseluxembourgsaluxembourglux", 4326, 6.1667, 49.75, "Credit Suisse"
"LVA","aorietumubankajsclatvialva", 4326, 25, 57, "AO Rietumu Banka JSC"
"TWN","bangkokbankpubliccompanytaipeitaiwantwn", 4326, 121, 23.5, "Bangkok Bank Public Company"
"CHN","dbsbankchinaltdshanghaibrshanghaichinachn", 4326, 105, 35, "DBS Bank"
"RUS","jscbinternationalfinancialclubmoscowrussiarus", 4326, 100, 60, "Jscb International Financial Club"
"LVA","norvikbankajscrigalatvialva", 4326, 25, 57, "Norvik Banka JSC"
"ARE","nationalbankofrasalkaimahrasalkhaimaunitedarabemiratesare", 4326, 54, 24, "National Bank of Ras Al Kaimah"
"KOR","koreaexchangebankseoulsouthkoreakor", 4326, 127.5, 37, "Korea Exchange Bank"
"TKM","nationalbankofpakistanashgabatturkmenistantkm", 4326, 60, 40, "National Bank of Pakistan"
"ARE","emiratesnbdbankpjscdubaidubaiunitedarabemiratesare", 4326, 54, 24, "Emirates Nbd Bank PJSC Dubai"
"TUR","asyakatilimbankasiasistanbulturkeytur", 4326, 35, 39, "Asya Katilim Bankasi A S"
"MEX","bancodelbajiosamexicomex", 4326, 102, 23, "Banco Del Bajio S A"
"ZAF","standardcharteredbanksouthafricasouthafricazaf", 4326, 24, 29, "Standard Chartered Bank South Africa"
"HKG","standardcharteredbankhongkongltdhongkonghkg", 4326, 114.1667, 22.25, "Standard Chartered Bank Hong Kong Ltd"
"JPN","mizuhocorporatebanktokyojapanjpn", 4326, 138, 36, "Mizuho Corporate Bank"
"IDN","standardcharteredbankjakartaindonesiaidn", 4326, 120, 5, "Standard Chartered Bank"
"BGD","socialislamibanklimiteddhakabangladeshbgd", 4326, 90, 24, "Social Islami Bank Limited"
"UKR","sberbankofrussiakievukraineukr", 4326, 32, 49, "Sberbank of Russia"
"RUS","bankofmoscowmoscowrussiarus", 4326, 100, 60, "Bank of Moscow"
"UKR","creditdneprbankdnepropetrovskukraineukr", 4326, 32, 49, "Credit Dnepr Bank"
"HKG","ctbcbankcoltdhongkongbranchhongkonghkg", 4326, 114.1667, 22.25, "CTBC Bank Co Ltd Hong Kong Branch"
