n.country,n.id,n.srid, n.x, n.y,n.name
"PAK","nationalbankofpakistankarachipakistanpak", 4326, 70, 30, "National Bank of Pakistan"
"PAK","soneribankltdkarachipakistanpak", 4326, 70, 30, "Soneri Bank Ltd"
"PAK","standardcharteredbankkarachipakistanpak", 4326, 70, 30, "Standard Chartered Bank"
"GBR","standardcharteredbanklondongbgbr", 4326, 2, 54, "Standard Chartered Bank"
"BEL","jpmorganinternationalbankbrusselsbelgiumbel", 4326, 4, 50.8333, "JPMorgan International Bank Brussels"
"CYM","dmsbanktrustltdcaymanislandscym", 4326, 80.5, 19.5, "DMS Bank & Trust Ltd"
"RUS","vtbnorthweststpetersburgrussiarus", 4326, 100, 60, "VTB North West"
"TWN","esunbanktaipeitaiwantwn", 4326, 121, 23.5, "E Sun Bank"
"GBR","dnbnorbankasalondonenglandgbr", 4326, 2, 54, "DNB Nor Bank Asa"
"NZL","bankofnewzealandnewzealandnzl", 4326, 174, 41, "Bank of New Zealand"
"TUR","turkiyehalkbankasiasturkeytur", 4326, 35, 39, "Turkiye Halk Bankasi A S"
"UKR","ukrgasbankkievukraineukr", 4326, 32, 49, "Ukrgasbank"
"AZE","kapitalbankbakuazerbaijanaze", 4326, 47.5, 40.5, "Kapital Bank"
"KEN","middleeastbankkenyaltdkenyaken", 4326, 38, 1, "Middle East Bank Kenya Ltd"
"GBR","standardcharteredbanklondongbr", 4326, 2, 54, "Standard Chartered Bank"
"KEN","standardcharteredbankkenyaken", 4326, 38, 1, "Standard Chartered Bank"
"CHN","bankofchinalimitedchinabeijingchinachn", 4326, 105, 35, "Bank of China Limited China"
"CYP","hellenicbanknicosiacypruscyp", 4326, 33, 35, "Hellenic Bank"
"RUS","ojscpromsvyazbankmoscowrussiarus", 4326, 100, 60, "Ojsc Promsvyazbank"
"CAN","canadianimperialbankofcommercetorontocanadacan", 4326, 95, 60, "Canadian Imperial Bank of Commerce"
"TWN","megainternationalcommlbankcoltdtaipeitaiwantwn", 4326, 121, 23.5, "Mega International Comml Bank Co Ltd"
"NLD","abnamrobanknvamsterdamnetherlandsnld", 4326, 5.75, 52.5, "ABN Amro Bank N.V."
"RUS","oaodnbnormonchebankmurmanskrussiarus", 4326, 100, 60, "Oao DNB Nor Monchebank"
"CYM","maplesfslimitedcaymanislandcym", 4326, 80.5, 19.5, "Maplesfs Limited"
"CHN","industrialcommercialbankbeijinghoofchinafuzhouchinachn", 4326, 105, 35, "Industrial & Commercial Bank Beijing H.O. of China"
"HKG","chinatrustcommercialbankhongkonghkg", 4326, 114.1667, 22.25, "Chinatrust Commercial Bank"
"AND","morabancgrupsaandorraand", 4326, 1.6, 42.5, "Mora Banc Grup SA"
"CHE","creditsuisseagzurichswitzerlandche", 4326, 8, 47, "Credit Suisse AG"
"SGP","icicibanklimitedsingaporesgp", 4326, 103.8, 1.3667, "Icici Bank Limited"
"CHE","societegeneraleprivatebankingsgpbsuisseswitzerlandche", 4326, 8, 47, "Societe Generale Private Banking"
"SGP","societegeneralebankandtrustsingaporesasgbtsingaporesingaporesgp", 4326, 103.8, 1.3667, "Societe Generale Bank And Trust Singapore SA"
"MCO","societegeneralebankandtrustmonacosgbtmonacomonacomco", 4326, 7.4, 43.7333, "Societe Generale Bank And Trust Monaco"
"BHR","denizbankasbahrainbranchobumanamabahrainbhr", 4326, 50.55, 26, "Denizbank AS Bahrain Branch"
"KAZ","vtbbankkazakhstanalmatykazakhstankaz", 4326, 68, 48, "VTB Bank"
"TUR","yapivekredibankasiasistanbulturkeytur", 4326, 35, 39, "Yapi Ve Kredi Bankasi A.S."
"TUR","turkekonomibankasiistanbulturkeytur", 4326, 35, 39, "Turk Ekonomi Bankasi"
"HKG","dbsbankhongkonglimitedhongkonghkg", 4326, 114.1667, 22.25, "DBS Bank"
"HKG","hangsengbanklimitedhongkonghkg", 4326, 114.1667, 22.25, "Hang Seng Bank Limited"
"IDN","bankinternationalindonesiajakartaindonesiaidn", 4326, 120, 5, "Bank International Indonesia"
"PHL","bancodeorounibankincmakaticityphilippinesphl", 4326, 122, 13, "Banco De Oro Unibank Inc."
"CHN","dbsbankchinaltdshanghaichinachn", 4326, 105, 35, "DBS Bank"
"LUX","vpbankluxembourgsaluxembourglux", 4326, 6.1667, 49.75, "VP Bank"
"AUT","vtbbankaustriaagviennaaustriaaut", 4326, 13.3333, 47.3333, "VTB Bank"
"HKG","bankofchinahongkongltdhongkonghkg", 4326, 114.1667, 22.25, "Bank of China Hong Kong Ltd"
"CHE","societegeneraleprivatebankingsuissesaswitzerlandche", 4326, 8, 47, "Societe Generale Private Banking"
"CHE","sgprivatebankingsuissesazurichswitzerlandche", 4326, 8, 47, "SG Private Banking"
"CYM","caledonianbanklimitedgeorgetowncaymanislandscym", 4326, 80.5, 19.5, "Caledonian Bank Limited"
"ARE","firstgulfbankabudhabiunitedarabemiratesare", 4326, 54, 24, "First Gulf Bank"
"ITA","unicreditspamilanitalyita", 4326, 12.8333, 42.8333, "UniCredit Spa"
"CHN","agriculturalbankofchinabeijingchinachn", 4326, 105, 35, "Agricultural Bank of China"
"CHN","industrialandcommlbankofchinabeijingchinachn", 4326, 105, 35, "Industrial And CommL Bank of China"
"CAN","caissecentraledesjardinsmontrealcanadacan", 4326, 95, 60, "Caisse Centrale Desjardins"
"GBR","crownagentsbanklondonenglandgbr", 4326, 2, 54, "Crown Agents Bank"
"TUR","kuwaitturkishparticipationbankincistanbulturkeytur", 4326, 35, 39, "Kuwait Turkish Participation Bank Inc"
"ARE","emiratesnbdbankpjscdubaiunitedarabemiratesare", 4326, 54, 24, "Emirates Nbd Bank PJSC"
"AUT","raiffeisenbankinternationalagviennaaustriaaut", 4326, 13.3333, 47.3333, "Raiffeisen Bank International AG"
